epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
131,6550.87,1.58987,1.7499,1.94253,0.48374,0.51595,0.49807,0.24958,1.78296,1.72073,2.40682,0.000396071,0.000396071,0.000396071
132,6601.34,1.55368,1.71231,1.92966,0.45908,0.52611,0.52497,0.25487,1.75098,1.73216,2.38862,0.000390572,0.000390572,0.000390572
133,6653.31,1.58671,1.76487,1.94928,0.61471,0.44819,0.50828,0.24446,1.78771,1.68775,2.42537,0.000385073,0.000385073,0.000385073
134,6703.4,1.59536,1.76267,1.95062,0.4834,0.4898,0.47528,0.22122,1.8675,1.83362,2.51628,0.000379573,0.000379573,0.000379573
135,6752.82,1.54689,1.78034,1.90587,0.49042,0.5275,0.49335,0.22744,1.78149,1.8513,2.41987,0.000374074,0.000374074,0.000374074
136,6802.28,1.55006,1.70559,1.90166,0.52328,0.4576,0.50973,0.2487,1.80595,1.68875,2.44334,0.000368574,0.000368574,0.000368574
137,6851.92,1.54252,1.69247,1.89349,0.46094,0.56523,0.50091,0.24564,1.75069,1.66778,2.37758,0.000363075,0.000363075,0.000363075
138,6901.4,1.53839,1.7116,1.90885,0.52002,0.45438,0.49845,0.24147,1.7434,1.71014,2.37405,0.000357575,0.000357575,0.000357575
139,6950.73,1.52947,1.67566,1.90271,0.48123,0.49281,0.51324,0.24873,1.77018,1.69565,2.39353,0.000352076,0.000352076,0.000352076
140,7000.26,1.53265,1.67795,1.90289,0.50535,0.49392,0.51302,0.24817,1.80739,1.6731,2.4421,0.000346576,0.000346576,0.000346576
141,7049.28,1.53863,1.70044,1.89735,0.45776,0.54938,0.49408,0.23317,1.8327,1.66922,2.45303,0.000341077,0.000341077,0.000341077
142,7098.7,1.51073,1.62871,1.85971,0.45829,0.49979,0.48939,0.24728,1.78466,1.68283,2.40544,0.000335578,0.000335578,0.000335578
143,7147.82,1.52269,1.65851,1.8989,0.51021,0.4968,0.50663,0.25206,1.79681,1.68283,2.42788,0.000330078,0.000330078,0.000330078
